week_adjusted,shifted_data,Period
2025-01-05,17776.079999999998,A
2025-01-12,18413.085,A
2025-01-19,18525.0,A
2025-01-26,17285.475,A
2025-02-02,17823.345,A
2025-02-09,17596.14,A
2025-02-16,17259.045000000002,A
2025-02-23,17336.565,A
2025-03-02,19099.56,A
2025-03-09,17297.805,A
2025-03-16,17220.285,A
2025-03-23,17673.66,A
2025-03-30,17708.505,A
2025-04-06,17220.285,A
2025-04-13,17596.14,A
2025-04-20,17410.170000000002,A
2025-04-27,17786.025,A
2025-05-04,16468.574999999997,A
2025-05-11,18123.12,A
2025-05-18,16732.065,A
2025-05-25,17561.295000000002,A
2025-06-01,17483.775,A
2025-06-08,17561.295000000002,A
2025-06-15,17483.775,A
2025-06-22,18498.975,A
2025-06-29,17824.785,A
2025-06-29,20698.125,B
2025-07-06,17558.1,B
2025-07-13,18656.775,B
2025-07-20,17558.1,B
2025-07-27,17813.91,B
2025-08-03,17807.415,B
2025-08-10,19004.955,B
2025-08-17,17776.079999999998,B
2025-08-24,17887.995,B
2025-08-31,19872.21,B
2025-09-07,17776.079999999998,B
2025-09-14,17698.65,B
2025-09-21,20362.815,B
2025-09-28,18374.37,B
2025-10-05,20177.7,B
2025-10-12,17100.36,B
2025-10-19,18826.26,B
2025-10-26,18602.43,B
2025-11-02,18335.655,B
2025-11-09,19011.375,B
2025-11-16,17737.364999999998,B
2025-11-23,19312.635,B
2025-11-30,17664.165,B
2025-12-07,20625.345,B
2025-12-21,19424.550000000003,B
2025-12-28,20586.63,B
2026-01-04,18602.43,B
2026-01-11,18447.57,B
2026-01-18,19312.635,B
